Depth,Well,GR,RT,RHOB,NPHI,Facies
3263,14,32.6558,0.389,2.2241,0.2461,SS
3263.5,14,35.2396,0.388,2.2699,0.238,SS
3264,14,58.9679,0.423,2.4435,0.3526,SH
3264.5,14,49.2145,0.6665,2.3305,0.538,SH
3265,14,46.0201,0.6649,2.1744,0.2401,SS
3265.5,14,32.2093,0.4561,2.2085,0.2242,SS
3266,14,28.6807,0.4599,2.2054,0.2028,SS
3266.5,14,28.6507,0.3672,2.1778,0.223,SS
3267,14,30.4789,0.342,2.16,0.2241,SS
3267.5,14,28.9195,0.4092,2.1575,0.22,SS
3268,14,28.0888,0.3559,2.1605,0.2287,SS
3268.5,14,27.3787,0.378,2.1736,0.2279,SS
3269,14,29.3742,0.4638,2.1906,0.2121,SS
3269.5,14,30.9778,0.531,2.2014,0.2177,SS
3270,14,33.346,0.5509,2.2077,0.206,SS
3270.5,14,26.2862,0.5851,2.207,0.208,SS
3271,14,29.2662,0.5989,2.2062,0.197,SS
3271.5,14,30.9267,0.6839,2.1909,0.2183,SS
3272,14,27.8777,0.7838,2.2046,0.1955,SS
3272.5,14,30.6473,0.9213,2.2088,0.2051,SS
3273,14,29.3149,0.84,2.1963,0.2069,SS
3273.5,14,30.9579,0.6361,2.2028,0.2016,SS
3274,14,32.0378,0.6,2.2085,0.2005,SS
3274.5,14,31.6989,0.48,2.2378,0.2024,SS
3275,14,32.0296,0.6219,2.2194,0.2082,SS
3275.5,14,27.8269,0.622,2.2331,0.1994,SS
3276,14,25.8984,0.623,2.2246,0.2025,SS
3276.5,14,25.4846,0.5332,2.2313,0.2085,SS
3277,14,31.3181,3.7324,2.2975,0.109,SS
3277.5,14,27.384,2.4703,2.3619,0.0939,CB
3278,14,28.7282,0.4598,2.3034,0.1728,CB
3278.5,14,30.603,0.464,2.2598,0.2006,SS
3279,14,31.2805,0.504,2.28,0.2096,SS
3279.5,14,45.6957,0.592,2.2962,0.2137,SS
3280,14,58.595,0.625,2.2869,0.3014,UN
3280.5,14,69.5744,0.5821,2.2632,0.35,SH
3281,14,51.3597,0.621,2.1899,0.3108,UN
3281.5,14,55.0748,0.675,2.2713,0.3197,SH
3282,14,64.529,0.5781,2.2233,0.3247,UN
3282.5,14,66.3812,0.607,2.2657,0.3743,SH
3283,14,64.6704,0.627,2.2478,0.3913,SH
3283.5,14,73.4149,0.663,2.2818,0.3848,SH
3284,14,64.5187,0.657,2.3301,0.4247,SH
3284.5,14,65.7854,0.6921,2.36,0.3922,SH
3285,14,58.4588,0.534,2.2227,0.3471,UN
3285.5,14,51.856,0.569,2.1959,0.2896,SS
3286,14,54.7937,0.637,2.3269,0.3367,SH
3286.5,14,58.0499,0.5351,2.2335,0.3818,SH
3287,14,57.7755,0.391,2.2514,0.4109,SH
3287.5,14,41.4275,0.4799,2.1091,0.289,SS
3288,14,47.13,0.3358,2.092,0.3081,SS
3288.5,14,34.9266,0.343,2.0954,0.3195,SS
3289,14,33.1717,0.324,2.0863,0.299,SS
3289.5,14,33.4286,0.325,2.1185,0.2773,SS
3290,14,33.5685,0.335,2.1317,0.2695,SS
3290.5,14,31.7425,0.291,2.1261,0.2843,SS
3291,14,30.0583,0.31,2.1217,0.274,SS
3291.5,14,29.5375,0.297,2.1283,0.2849,SS
3292,14,28.5325,0.294,2.1245,0.275,SS
3292.5,14,29.3954,0.308,2.1206,0.2904,SS
3293,14,30.8389,0.3061,2.1198,0.2633,SS
3293.5,14,29.1073,0.294,2.1173,0.2588,SS
3294,14,30.4716,0.336,2.1186,0.2734,SS
3294.5,14,31.7269,0.3041,2.1476,0.2555,SS
3295,14,30.3887,0.327,2.1438,0.2479,SS
3295.5,14,31.3698,0.302,2.1351,0.2457,SS
3296,14,30.5915,0.322,2.1267,0.2677,SS
3296.5,14,30.5464,0.32,2.1286,0.2483,SS
3297,14,31.7341,0.302,2.1284,0.2524,SS
