Depth,Well,GR,RT,RHOB,NPHI,Facies
3681.5,15,197.16,1.939,2.2531,0.417,SH
3682,15,188.393,1.962,2.2271,0.3555,SH
3682.5,15,188.163,1.992,2.2521,0.4128,SH
3683,15,209.249,2.284,2.2439,0.4496,SH
3683.5,15,197.913,2.312,2.179,0.4688,SH
3684,15,200.785,2.375,2.1841,0.4977,SH
3684.5,15,200.861,2.719,2.216,0.4631,SH
3685,15,193.232,3.126,2.0603,0.5202,SH
3685.5,15,178.464,2.615,2.1679,0.5014,SH
3686,15,172.107,2.401,2.2546,0.5607,SH
3686.5,15,166.079,2.023,2.2698,0.4576,SH
3687,15,163.66,1.987,2.2562,0.4195,SH
3687.5,15,175.938,2.148,2.24,0.3809,SH
3688,15,202.962,2.16,2.268,0.3888,SH
3688.5,15,225.812,2.25,2.2849,0.4978,SH
3689,15,223.06,2.259,2.2751,0.4695,SH
3689.5,15,212.074,2.293,2.3171,0.3596,SH
3690,15,231.794,2.362,2.2898,0.5103,SH
3690.5,15,222.641,2.408,2.315,0.4762,SH
3691,15,203.251,2.256,2.3419,0.4547,SH
3691.5,15,212.158,2.27,2.2891,0.4829,SH
3692,15,221.662,2.322,2.257,0.4378,SH
3692.5,15,214.933,2.391,2.276,0.4126,SH
3693,15,205.324,2.441,2.2439,0.4177,SH
3693.5,15,215.017,2.881,2.262,0.4471,SH
3694,15,183.13,2.381,2.5675,0.4386,SH
3694.5,15,179.555,1.133,2.335,0.4979,SH
3695,15,154.784,1.233,2.3558,0.5293,SH
3695.5,15,168.464,2.107,2.272,0.4645,SH
3696,15,189.276,2.183,2.2081,0.3222,UN
3696.5,15,199.33,2.353,2.22,0.436,SH
3697,15,190.429,2.467,2.2271,0.4782,SH
3697.5,15,194.611,2.418,2.233,0.5667,SH
3698,15,209.557,2.105,2.2552,0.4551,SH
3698.5,15,215.757,1.656,2.216,0.4034,SH
3699,15,207.544,1.236,2.3279,0.5535,SH
3699.5,15,184.36,1.098,2.2141,0.3384,UN
3700,15,205.124,1.557,2.2131,0.6501,SH
3700.5,15,186.647,10.335,2.2171,0.4611,SH
3701,15,185.251,408.976,2.189,0.4541,SH
3701.5,15,191.861,14.89,2.2231,0.396,SH
3702,15,205.05,5.23,2.2171,0.6156,SH
3702.5,15,215.581,0.946,2.1502,0.4127,SH
3703,15,355.111,0.11,2.5479,0.5177,SH
3703.5,15,1567.59,0.094,2.6976,0.423,SH
3704,15,407.082,0.975,2.564,0.2924,SH
3704.5,15,325.097,2.268,2.587,0.3164,SH
3705,15,252.629,3.002,2.3088,0.3213,SH
3705.5,15,183.005,5.019,2.417,0.3803,SH
3706,15,98.847,11.926,2.4803,0.2391,UN
3706.5,15,120.942,4.524,2.4623,0.2963,SH
3707,15,121.441,2.614,2.458,0.3209,SH
3707.5,15,118.802,2.592,2.401,0.3542,SH
3708,15,111.521,2.635,2.407,0.4196,SH
3708.5,15,111.989,4.141,2.4609,0.3707,SH
3709,15,106.349,3.856,2.4401,0.3527,SH
3709.5,15,111.379,3.735,2.4789,0.3521,SH
3710,15,112.923,2.379,2.4729,0.3694,SH
3710.5,15,121.553,2.178,2.5019,0.2722,SH
3711,15,111.555,2.479,2.4431,0.3097,SH
3711.5,15,115.233,2.248,2.4541,0.3398,SH
3712,15,119.435,2.563,2.453,0.3469,SH
3712.5,15,118.422,2.578,2.474,0.3808,SH
3713,15,117.68,3.158,2.4768,0.3079,SH
3713.5,15,100.007,3.178,2.5,0.3035,SH
3714,15,106.555,2.813,2.4411,0.2875,SH
3714.5,15,107.188,4.273,2.3862,0.467,SH
3715,15,111.805,3.612,2.4298,0.3596,SH
3715.5,15,115.666,7.212,2.3951,0.3222,SH
3716,15,58.328,11.687,2.6431,0.2759,SS
3716.5,15,44.294,5.683,2.3971,0.2181,SS
3717,15,106.961,4.193,2.41,0.361,SH
3717.5,15,135.31,2.559,2.4201,0.3431,SH
3718,15,111.72,2.328,2.4401,0.3233,SH
3718.5,15,124.581,2.107,2.46,0.3651,SH
3719,15,117.156,1.963,2.5278,0.3106,SH
3719.5,15,101.9466,1.9658,2.4405,0.3124,SH
3720,15,111.05,2.08,2.4849,0.3936,SH
3720.5,15,113.944,2.012,2.4042,0.3115,SH
3721,15,108.49,1.97,2.448,0.3277,SH
3721.5,15,104.848,1.769,2.476,0.2826,SH
3722,15,112.125,1.959,2.4919,0.356,SH
3722.5,15,117.288,2.209,2.5486,0.3483,SH
3723,15,109.65,1.309,2.4522,0.3512,SH
3723.5,15,114.593,2.87,2.4989,0.342,SH
3724,15,110.143,1.601,2.4572,0.2746,SH
3724.5,15,107.645,1.632,2.4691,0.3213,SH
3725,15,104.965,1.68,2.475,0.376,SH
3725.5,15,112.024,1.596,2.4221,0.2231,UN
3726,15,108.772,1.613,2.4491,0.3748,SH
3726.5,15,115.624,1.607,2.4631,0.3263,SH
3727,15,116.807,1.688,2.489,0.299,SH
3727.5,15,112.672,1.717,2.4711,0.3316,SH
3728,15,115.338,1.739,2.4888,0.3728,SH
3728.5,15,106.839,1.742,2.5269,0.3045,SH
3729,15,106.481,1.725,2.465,0.3701,SH
3729.5,15,108.244,1.733,2.4491,0.3592,SH
3730,15,106.75,1.684,2.4151,0.3646,SH
3730.5,15,121.115,1.754,2.3892,0.3713,SH
3731,15,115.954,2.119,2.4281,0.3552,SH
3731.5,15,111.317,2.554,2.6146,0.3385,SH
3732,15,106.16,2.054,2.4965,0.422,SH
3732.5,15,110.907,1.998,2.435,0.3352,SH
3733,15,112.611,1.89,2.4679,0.3788,SH
3733.5,15,104.528,1.773,2.447,0.3158,SH
3734,15,102.797,1.624,2.449,0.3301,SH
3734.5,15,97.061,1.681,2.4701,0.3572,SH
3735,15,105.335,1.795,2.466,0.3422,SH
3735.5,15,106.038,1.793,2.45,0.2756,SH
3736,15,99.638,1.675,2.4649,0.3102,SH
3736.5,15,97.442,1.683,2.4849,0.3305,SH
3737,15,104.662,1.646,2.461,0.3207,SH
3737.5,15,104.505,1.697,2.433,0.3074,SH
3738,15,104.137,1.577,2.4438,0.3371,SH
3738.5,15,93.341,1.465,2.4749,0.3425,SH
3739,15,106.423,1.809,2.452,0.3182,SH
3739.5,15,104.959,1.877,2.457,0.3202,SH
3740,15,104.468,1.88,2.455,0.3181,SH
3740.5,15,100.313,1.917,2.469,0.3079,SH
3741,15,98.452,2.132,2.4784,0.3296,SH
3741.5,15,94.637,2.292,2.4551,0.2752,SH
3742,15,95.965,2.066,2.4699,0.2984,SH
3742.5,15,96.786,2.039,2.4292,0.3605,SH
3743,15,102.956,1.824,2.4409,0.328,SH
3743.5,15,96.714,1.828,2.4201,0.393,SH
3744,15,104.706,1.835,2.442,0.3411,SH
3744.5,15,102.781,1.806,2.457,0.3041,SH
3745,15,105.04,1.782,2.432,0.3335,SH
3745.5,15,100.065,1.75,2.427,0.3027,SH
3746,15,102.213,1.772,2.418,0.3484,SH
3746.5,15,95.892,1.785,2.46,0.2846,SH
3747,15,100.736,1.758,2.431,0.3038,SH
3747.5,15,103.643,1.787,2.4281,0.3283,SH
3748,15,101.8793,1.776,2.4381,0.3394,SH
3748.5,15,99.197,1.725,2.4381,0.3169,SH
3749,15,101.132,1.696,2.471,0.3192,SH
3749.5,15,98.35,1.771,2.458,0.3147,SH
3750,15,96.82,1.873,2.4421,0.3386,SH
3750.5,15,98.931,1.721,2.448,0.2984,SH
3751,15,98.178,1.726,2.4451,0.2907,SH
3751.5,15,94.243,1.759,2.451,0.3238,SH
3752,15,99.582,1.802,2.4889,0.3237,SH
3752.5,15,14.514,1.806,2.47,0.2932,SS
3753,15,97.062,1.79,2.461,0.2822,SH
3753.5,15,98.618,1.817,2.472,0.2872,SH
3754,15,93.502,1.765,2.444,0.27,SH
3754.5,15,97.477,1.725,2.4579,0.2448,SH
3755,15,94.849,1.759,2.448,0.3272,SH
3755.5,15,102.356,1.846,2.4679,0.2517,SH
3756,15,97.812,1.788,2.4321,0.3189,SH
3756.5,15,98.72,1.756,2.471,0.345,SH
3757,15,99.595,1.722,2.454,0.3499,SH
3757.5,15,97.185,1.803,2.4501,0.2824,SH
3758,15,90.628,1.862,2.452,0.2717,SH
3758.5,15,97.201,1.976,2.443,0.2892,SH
3759,15,96.106,2.01,2.5091,0.2906,SH
3759.5,15,99.653,1.911,2.4663,0.2922,SH
3760,15,92.487,1.708,2.424,0.2882,SH
3760.5,15,87.227,2.179,2.44,0.2649,SH
3761,15,89.833,2.184,2.4552,0.2651,SH
3761.5,15,100.311,2.128,2.4679,0.2533,SH
3762,15,93.78,2.067,2.4211,0.2449,SH
3762.5,15,92.562,2.692,2.439,0.2932,SH
3763,15,83.147,2.169,2.5001,0.2493,SH
3763.5,15,87.879,2.102,2.4949,0.2423,SH
3764,15,87.545,2.04,2.507,0.259,SH
