Depth,Well,GR,RT,RHOB,NPHI,Facies,Well
3263,14,32.6558,0.389,2.2241,0.2461,SS,well_1
3263.5,14,35.2396,0.388,2.2699,0.238,SS,well_1
3264,14,58.9679,0.423,2.4435,0.3526,SH,well_1
3264.5,14,49.2145,0.6665,2.3305,0.538,SH,well_1
3265,14,46.0201,0.6649,2.1744,0.2401,SS,well_1
3265.5,14,32.2093,0.4561,2.2085,0.2242,SS,well_1
3266,14,28.6807,0.4599,2.2054,0.2028,SS,well_1
3266.5,14,28.6507,0.3672,2.1778,0.223,SS,well_1
3267,14,30.4789,0.342,2.16,0.2241,SS,well_1
3267.5,14,28.9195,0.4092,2.1575,0.22,SS,well_1
3268,14,28.0888,0.3559,2.1605,0.2287,SS,well_1
3268.5,14,27.3787,0.378,2.1736,0.2279,SS,well_1
3269,14,29.3742,0.4638,2.1906,0.2121,SS,well_1
3269.5,14,30.9778,0.531,2.2014,0.2177,SS,well_1
3270,14,33.346,0.5509,2.2077,0.206,SS,well_1
3270.5,14,26.2862,0.5851,2.207,0.208,SS,well_1
3271,14,29.2662,0.5989,2.2062,0.197,SS,well_1
3271.5,14,30.9267,0.6839,2.1909,0.2183,SS,well_1
3272,14,27.8777,0.7838,2.2046,0.1955,SS,well_1
3272.5,14,30.6473,0.9213,2.2088,0.2051,SS,well_1
3273,14,29.3149,0.84,2.1963,0.2069,SS,well_1
3273.5,14,30.9579,0.6361,2.2028,0.2016,SS,well_1
3274,14,32.0378,0.6,2.2085,0.2005,SS,well_1
3274.5,14,31.6989,0.48,2.2378,0.2024,SS,well_1
3275,14,32.0296,0.6219,2.2194,0.2082,SS,well_1
3275.5,14,27.8269,0.622,2.2331,0.1994,SS,well_1
3276,14,25.8984,0.623,2.2246,0.2025,SS,well_1
3276.5,14,25.4846,0.5332,2.2313,0.2085,SS,well_1
3277,14,31.3181,3.7324,2.2975,0.109,SS,well_1
3277.5,14,27.384,2.4703,2.3619,0.0939,CB,well_1
3278,14,28.7282,0.4598,2.3034,0.1728,CB,well_1
3278.5,14,30.603,0.464,2.2598,0.2006,SS,well_1
3279,14,31.2805,0.504,2.28,0.2096,SS,well_1
3279.5,14,45.6957,0.592,2.2962,0.2137,SS,well_1
3280,14,58.595,0.625,2.2869,0.3014,UN,well_1
3280.5,14,69.5744,0.5821,2.2632,0.35,SH,well_1
3281,14,51.3597,0.621,2.1899,0.3108,UN,well_1
3281.5,14,55.0748,0.675,2.2713,0.3197,SH,well_1
3282,14,64.529,0.5781,2.2233,0.3247,UN,well_1
3282.5,14,66.3812,0.607,2.2657,0.3743,SH,well_1
3283,14,64.6704,0.627,2.2478,0.3913,SH,well_1
3283.5,14,73.4149,0.663,2.2818,0.3848,SH,well_1
3284,14,64.5187,0.657,2.3301,0.4247,SH,well_1
3284.5,14,65.7854,0.6921,2.36,0.3922,SH,well_1
3285,14,58.4588,0.534,2.2227,0.3471,UN,well_1
3285.5,14,51.856,0.569,2.1959,0.2896,SS,well_1
3286,14,54.7937,0.637,2.3269,0.3367,SH,well_1
3286.5,14,58.0499,0.5351,2.2335,0.3818,SH,well_1
3287,14,57.7755,0.391,2.2514,0.4109,SH,well_1
3287.5,14,41.4275,0.4799,2.1091,0.289,SS,well_1
3288,14,47.13,0.3358,2.092,0.3081,SS,well_1
3288.5,14,34.9266,0.343,2.0954,0.3195,SS,well_1
3289,14,33.1717,0.324,2.0863,0.299,SS,well_1
3289.5,14,33.4286,0.325,2.1185,0.2773,SS,well_1
3290,14,33.5685,0.335,2.1317,0.2695,SS,well_1
3290.5,14,31.7425,0.291,2.1261,0.2843,SS,well_1
3291,14,30.0583,0.31,2.1217,0.274,SS,well_1
3291.5,14,29.5375,0.297,2.1283,0.2849,SS,well_1
3292,14,28.5325,0.294,2.1245,0.275,SS,well_1
3292.5,14,29.3954,0.308,2.1206,0.2904,SS,well_1
3293,14,30.8389,0.3061,2.1198,0.2633,SS,well_1
3293.5,14,29.1073,0.294,2.1173,0.2588,SS,well_1
3294,14,30.4716,0.336,2.1186,0.2734,SS,well_1
3294.5,14,31.7269,0.3041,2.1476,0.2555,SS,well_1
3295,14,30.3887,0.327,2.1438,0.2479,SS,well_1
3295.5,14,31.3698,0.302,2.1351,0.2457,SS,well_1
3296,14,30.5915,0.322,2.1267,0.2677,SS,well_1
3296.5,14,30.5464,0.32,2.1286,0.2483,SS,well_1
3297,14,31.7341,0.302,2.1284,0.2524,SS,well_1
3297.5,14,30.3532,0.298,2.1285,0.2772,SS,well_1
3298,14,31.6969,0.311,2.1241,0.256,SS,well_1
3298.5,14,31.8726,0.291,2.1266,0.2788,SS,well_1
3299,14,28.3957,0.331,2.1407,0.2576,SS,well_1
3299.5,14,31.0182,0.275,2.1505,0.2604,SS,well_1
3300,14,29.8538,0.266,2.1383,0.3123,SS,well_1
3300.5,14,31.2448,0.291,2.1228,0.2679,SS,well_1
3301,14,30.1604,0.29,2.1279,0.2677,SS,well_1
3301.5,14,33.7686,0.301,2.1411,0.2607,SS,well_1
3302,14,30.5824,0.293,2.1485,0.2518,SS,well_1
3302.5,14,32.4098,0.289,2.1451,0.2431,SS,well_1
3303,14,31.019,0.285,2.1406,0.2487,SS,well_1
3303.5,14,31.6501,0.295,2.1357,0.2654,SS,well_1
3304,14,32.0369,0.279,2.1339,0.2803,SS,well_1
3304.5,14,30.18,0.285,2.1403,0.2648,SS,well_1
3305,14,32.7672,0.285,2.1292,0.2499,SS,well_1
3305.5,14,33.0053,0.276,2.1396,0.2606,SS,well_1
3306,14,32.4776,0.306,2.1419,0.2526,SS,well_1
3306.5,14,30.8786,0.29,2.1457,0.258,SS,well_1
3307,14,33.0645,0.302,2.1495,0.2611,SS,well_1
3307.5,14,31.281,0.296,2.1546,0.2535,SS,well_1
3308,14,31.3719,0.295,2.154,0.2638,SS,well_1
3308.5,14,28.4212,0.296,2.1488,0.2773,SS,well_1
3309,14,31.073,0.31,2.1437,0.2676,SS,well_1
3309.5,14,31.3249,0.325,2.1475,0.2513,SS,well_1
3310,14,29.515,0.307,2.1535,0.2486,SS,well_1
3310.5,14,32.1847,0.284,2.1619,0.2436,SS,well_1
3311,14,30.721,0.324,2.1615,0.2587,SS,well_1
3311.5,14,29.7405,0.281,2.1637,0.2608,SS,well_1
3312,14,34.262,0.323,2.166,0.2764,SS,well_1
3312.5,14,35.3392,0.324,2.1633,0.258,SS,well_1
3313,14,33.4946,0.344,2.1479,0.2576,SS,well_1
3313.5,14,34.801,0.334,2.1572,0.243,SS,well_1
3314,14,37.4302,0.351,2.1523,0.2603,SS,well_1
3314.5,14,35.334,0.3579,2.1509,0.2454,SS,well_1
3315,14,34.2245,0.368,2.1621,0.2491,SS,well_1
3315.5,14,34.2054,0.346,2.1645,0.2456,SS,well_1
3316,14,32.6402,0.339,2.1583,0.2611,SS,well_1
3316.5,14,34.2808,0.344,2.1662,0.2636,SS,well_1
3317,14,34.5887,0.336,2.1642,0.2417,SS,well_1
3317.5,14,34.3994,0.341,2.1594,0.2479,SS,well_1
3318,14,34.8082,0.334,2.159,0.2491,SS,well_1
3318.5,14,32.3484,0.344,2.1599,0.2612,SS,well_1
3319,14,32.2034,0.336,2.1666,0.2374,SS,well_1
3319.5,14,33.0334,0.324,2.1622,0.2456,SS,well_1
3320,14,35.2752,0.322,2.1677,0.2451,SS,well_1
3320.5,14,32.237,0.318,2.155,0.2318,SS,well_1
3321,14,32.2982,0.3091,2.1598,0.2503,SS,well_1
3321.5,14,31.3228,0.299,2.16,0.2553,SS,well_1
3322,14,30.1225,0.29,2.1518,0.2591,SS,well_1
3322.5,14,29.7927,0.3,2.1493,0.255,SS,well_1
3323,14,30.0511,0.284,2.1521,0.2612,SS,well_1
3323.5,14,29.3268,0.3249,2.152,0.2505,SS,well_1
3324,14,30.86,0.327,2.1581,0.2644,SS,well_1
3324.5,14,32.2531,0.328,2.1559,0.2418,SS,well_1
3325,14,37.564,0.323,2.1662,0.2604,SS,well_1
3325.5,14,36.8364,0.331,2.1633,0.2531,SS,well_1
3326,14,35.0903,0.337,2.1759,0.2489,SS,well_1
3326.5,14,37.4518,0.3311,2.1791,0.2454,SS,well_1
3327,14,35.8417,0.2782,2.1797,0.2334,SS,well_1
3327.5,14,38.868,0.306,2.1776,0.2399,SS,well_1
3328,14,38.0992,0.303,2.1755,0.2481,SS,well_1
3328.5,14,36.5595,0.3841,2.1621,0.2344,SS,well_1
3329,14,36.8639,0.356,2.163,0.2326,SS,well_1
3329.5,14,36.1237,0.35,2.1745,0.2492,SS,well_1
3330,14,35.204,0.364,2.1591,0.2588,SS,well_1
3330.5,14,36.1911,0.324,2.1991,0.2331,SS,well_1
3331,14,36.4368,0.317,2.2273,0.2205,SS,well_1
3331.5,14,37.1482,0.33,2.2833,0.2395,SS,well_1
3332,14,32.3187,0.357,2.1925,0.2636,SS,well_1
3332.5,14,38.3238,0.408,2.3385,0.6033,UN,well_1
3333,14,35.6647,0.396,2.2928,0.4469,UN,well_1
3333.5,14,41.3727,0.392,2.2769,0.4738,SH,well_1
3334,14,51.9815,0.7601,2.2305,0.2462,SS,well_1
3334.5,14,34.5864,1.0566,2.2433,0.1177,SS,well_1
3335,14,44.6682,1.2697,2.3581,0.1258,CB,well_1
3335.5,14,47.6617,1.6186,2.425,0.2834,SH,well_1
3336,14,40.1386,0.9067,2.3343,0.2217,UN,well_1
3336.5,14,37.2215,4.9722,2.273,0.1966,SS,well_1
3337,14,39.8514,1.4257,2.2828,0.3126,SS,well_1
3337.5,14,39.1573,1.0816,2.4233,0.2717,UN,well_1
3338,14,40.1238,3.9252,2.3512,0.1276,CB,well_1
3338.5,14,44.8877,1.516,2.3349,0.2317,CB,well_1
3339,14,34.6681,1.1101,2.1835,0.256,SS,well_1
3339.5,14,30.5619,1.4083,2.2703,0.256,SS,well_1
3340,14,30.4699,0.6371,2.2331,0.2055,SS,well_1
3340.5,14,37.5883,1.8497,2.2524,0.2477,SS,well_1
3341,14,49.1329,0.4063,2.3783,0.2916,CB,well_1
3341.5,14,42.565,0.4357,2.4227,0.3058,UN,well_1
3342,14,35.4588,0.3609,2.2119,0.2681,SS,well_1
3342.5,14,35.8836,0.534,2.2261,0.2402,SS,well_1
3343,14,35.1216,0.3581,2.2133,0.2388,SS,well_1
3343.5,14,36.0467,0.3411,2.1892,0.2657,SS,well_1
3344,14,33.4212,0.361,2.1366,0.2577,SS,well_1
3344.5,14,32.4443,0.383,2.1867,0.2367,SS,well_1
3345,14,30.9769,0.427,2.1965,0.2435,SS,well_1
3345.5,14,34.327,0.4081,2.1904,0.2545,SS,well_1
3346,14,30.7502,0.4188,2.152,0.2649,SS,well_1
3346.5,14,29.4794,0.2731,2.1457,0.2509,SS,well_1
3347,14,29.2165,0.303,2.1395,0.283,SS,well_1
3347.5,14,27.5292,0.3679,2.1517,0.2626,SS,well_1
3348,14,25.8519,0.329,2.1744,0.2515,SS,well_1
3348.5,14,27.2025,0.2831,2.1779,0.24,SS,well_1
3349,14,28.0391,0.297,2.1743,0.2402,SS,well_1
3349.5,14,30.5713,0.275,2.1762,0.2438,SS,well_1
3350,14,29.4533,0.3319,2.1855,0.2314,SS,well_1
3350.5,14,29.5058,0.303,2.1889,0.232,SS,well_1
3351,14,32.3492,0.3539,2.1991,0.2339,SS,well_1
3351.5,14,32.479,0.373,2.1955,0.2505,SS,well_1
3352,14,29.7384,0.378,2.2033,0.2373,SS,well_1
3352.5,14,30.8324,0.393,2.2377,0.2273,SS,well_1
3353,14,28.5795,0.371,2.2754,0.2229,SS,well_1
3353.5,14,35.55,0.3401,2.3827,0.2443,CB,well_1
3354,14,58.6808,0.347,2.4043,0.3412,UN,well_1
3354.5,14,56.283,0.358,2.4159,0.4251,SH,well_1
3355,14,49.4914,0.366,2.3182,0.4276,SH,well_1
3355.5,14,47.3751,0.6797,2.2653,0.3738,SH,well_1
3356,14,50.1948,0.5139,2.3067,0.4275,SH,well_1
3356.5,14,51.0441,1.1165,2.2591,0.3778,SH,well_1
3357,14,47.9043,6.5367,2.2636,0.2778,SH,well_1
3357.5,14,41.3096,3.4602,2.3343,0.2993,SH,well_1
3358,14,33.2572,1.366,2.2531,0.1178,SS,well_1
3358.5,14,28.8295,1.537,2.1696,0.2245,SS,well_1
3359,14,30.1514,1.6138,2.0984,0.273,SS,well_1
3359.5,14,29.6241,2.3407,2.0966,0.2683,SS,well_1
3360,14,33.0725,5.2899,2.086,0.2974,SS,well_1
3360.5,14,30.7268,0.4394,2.11,0.2735,SS,well_1
3361,14,31.1567,0.4239,2.088,0.2648,SS,well_1
3361.5,14,29.0395,0.3461,2.086,0.2669,SS,well_1
3362,14,30.8576,0.295,2.095,0.2678,SS,well_1
3362.5,14,30.4439,0.277,2.09,0.2707,SS,well_1
3363,14,31.4006,0.28,2.087,0.2682,SS,well_1
3363.5,14,31.9115,0.282,2.102,0.2654,SS,well_1
3364,14,28.8024,0.287,2.128,0.2772,SS,well_1
3364.5,14,31.5112,0.292,2.158,0.2726,SS,well_1
3365,14,32.786,0.289,2.129,0.2835,SS,well_1
3365.5,14,28.2989,0.299,2.093,0.2807,SS,well_1
3366,14,30.8024,0.293,2.101,0.2663,SS,well_1
3366.5,14,33.2325,0.302,2.133,0.259,SS,well_1
3367,14,32.2818,0.302,2.1731,0.2349,SS,well_1
3367.5,14,32.2936,0.308,2.262,0.1961,SS,well_1
3368,14,34.3606,0.3,2.5178,0.1626,CB,well_1
3368.5,14,29.5016,0.315,2.4941,0.0976,CB,well_1
3369,14,28.151,0.361,2.3501,0.1358,CB,well_1
3369.5,14,29.2106,0.4009,2.301,0.1812,CB,well_1
3370,14,30.629,0.495,2.3061,0.1798,SS,well_1
3370.5,14,30.1439,1.3044,2.292,0.1909,SS,well_1
3371,14,35.3102,2.0849,2.367,0.1794,SS,well_1
3371.5,14,46.9283,0.7642,2.4921,0.336,SH,well_1
3372,14,18.3981,0.818,2.5559,0.1718,SS,well_1
3372.5,14,18.9297,0.9159,2.55,0.1387,CB,well_1
3373,14,14.3386,1.136,2.4981,0.1537,CB,well_1
3373.5,14,11.8345,0.9587,2.4172,0.1601,CB,well_1
3374,14,12.7385,2.0261,2.407,0.1748,CB,well_1
3374.5,14,14.4438,2.3992,2.454,0.1779,SS,well_1
3375,14,12.68,2.2879,2.4829,0.1619,CB,well_1
3375.5,14,17.9254,1.8802,2.6006,0.1436,CB,well_1
3376,14,10.805,1.633,2.6338,0.0716,CB,well_1
3376.5,14,6.3305,1.6399,2.6241,0.057,CB,well_1
3377,14,6.3118,1.9556,2.5281,0.07,CB,well_1
3377.5,14,5.384,2.3797,2.542,0.0787,CB,well_1
3378,14,7.4663,6.1425,2.559,0.0856,CB,well_1
3378.5,14,12.3822,7.6001,2.3891,0.1391,CB,well_1
3379,14,11.0166,5.9288,2.6158,0.172,SS,well_1
3379.5,14,7.1694,9.948,2.637,0.1369,CB,well_1
3380,14,9.3448,5.5414,2.472,0.1295,CB,well_1
3380.5,14,12.7206,1.8232,2.472,0.1674,CB,well_1
3381,14,9.2185,1.714,2.427,0.1781,CB,well_1
3381.5,14,11.4025,3.6815,2.423,0.1708,CB,well_1
3382,14,11.5697,3.1553,2.417,0.1533,CB,well_1
3382.5,14,11.8836,1.6236,2.402,0.1815,CB,well_1
3383,14,9.9071,1.622,2.385,0.1751,CB,well_1
3383.5,14,10.9737,1.6009,2.3491,0.1782,SS,well_1
3384,14,8.9724,1.5724,2.392,0.1771,SS,well_1
3384.5,14,13.1741,1.568,2.4789,0.1527,CB,well_1
3385,14,8.5215,1.4031,2.4222,0.1132,CB,well_1
3385.5,14,13.3609,1.2121,2.432,0.1635,CB,well_1
3386,14,12.2888,1.3009,2.4059,0.1934,CB,well_1
3386.5,14,11.1982,3.4172,2.386,0.1914,SS,well_1
3387,14,11.6644,1.5027,2.373,0.2068,SS,well_1
3387.5,14,9.6622,1.4849,2.339,0.1921,SS,well_1
3388,14,11.4938,1.4909,2.3301,0.1841,SS,well_1
3388.5,14,9.6849,1.365,2.35,0.18,SS,well_1
3389,14,12.0003,1.3257,2.3909,0.2285,SS,well_1
3389.5,14,10.6505,1.1572,2.3731,0.2034,SS,well_1
3390,14,14.1516,1.0141,2.4001,0.1824,SS,well_1
3390.5,14,15.0194,1.6199,2.457,0.1838,SS,well_1
3391,14,14.4199,1.7531,2.383,0.1778,CB,well_1
3391.5,14,13.0632,1.4184,2.339,0.1866,SS,well_1
3392,14,14.7245,1.1483,2.3701,0.1989,SS,well_1
3392.5,14,14.7703,1.3297,2.431,0.1865,SS,well_1
3393,14,15.807,1.7842,2.44,0.1787,SS,well_1
3393.5,14,15.6107,1.7861,2.4311,0.1816,SS,well_1
3394,14,16.778,1.6413,2.4569,0.1876,SS,well_1
3394.5,14,17.7234,1.6447,2.4878,0.1877,SS,well_1
3395,14,21.3034,1.529,2.5439,0.1707,SS,well_1
3395.5,14,17.5371,2.2711,2.4151,0.1782,SS,well_1
3396,14,19.5195,1.6201,2.4461,0.1702,SS,well_1
3396.5,14,16.6597,1.7647,2.4489,0.1733,SS,well_1
