Depth,Well,GR,RT,RHOB,NPHI,Facies,,
3236,1,33.5335,0.509,2.2381,0.1867,SS,,
3236.5,1,32.9023,0.491,2.2337,0.1801,SS,,
3237,1,31.0855,0.495,2.2282,0.1803,SS,,
3237.5,1,32.1195,0.497,2.2258,0.1952,SS,,
3238,1,33.8621,0.5,2.215,0.1962,SS,,
3238.5,1,34.4962,0.506,2.2093,0.1902,SS,,
3239,1,33.0044,0.5,2.2214,0.1769,SS,,
3239.5,1,32.1579,0.508,2.233,0.1824,SS,,
3240,1,31.1625,0.498,2.2243,0.1905,SS,,
3240.5,1,34.5472,0.489,2.2165,0.198,SS,,
3241,1,31.4264,0.516,2.2214,0.1861,SS,,
3241.5,1,29.8925,0.518,2.2204,0.1847,SS,,
3242,1,33.0522,0.514,2.2105,0.2029,SS,,
3242.5,1,30.6197,0.501,2.206,0.2006,SS,,
3243,1,29.4497,0.4741,2.2066,0.1957,SS,,
3243.5,1,29.9677,0.485,2.2143,0.1914,SS,,
3244,1,30.2575,0.478,2.2155,0.1957,SS,,
3244.5,1,35.0898,0.472,2.2167,0.199,SS,,
3245,1,26.8879,0.472,2.2229,0.208,SS,,
3245.5,1,30.1507,0.469,2.2218,0.2008,SS,,
3246,1,30.699,0.439,2.2152,0.2063,SS,,
3246.5,1,28.3275,0.432,2.2013,0.2103,SS,,
3247,1,38.7037,0.447,2.1835,0.2059,SS,,
3247.5,1,45.8,0.447,2.2761,0.2432,UN,,
3248,1,64.3382,0.4261,2.2625,0.3744,SH,,
3248.5,1,71.3684,0.8667,2.249,0.3822,SH,,
3249,1,64.9039,0.9273,2.1725,0.3607,UN,,
3249.5,1,72.8223,0.6068,2.2487,0.4018,SH,,
3250,1,65.7759,0.5349,2.3088,0.4508,SH,,
3250.5,1,61.677,0.4291,2.2248,0.3666,UN,,
3251,1,63.465,0.538,2.2782,0.3974,SH,,
3251.5,1,62.0998,0.5101,2.2034,0.4545,UN,,
3252,1,41.1627,0.5988,2.2109,0.382,UN,,
3252.5,1,33.2678,0.7409,2.1325,0.2377,SS,,
3253,1,27.3661,0.4807,2.1496,0.2379,SS,,
3253.5,1,31.5156,0.399,2.1545,0.2325,SS,,
3254,1,31.9318,0.412,2.1601,0.2196,SS,,
